Département,Budget,Type nomenclature,Exercice,Type fichier,Date vote,Dépense/Recette,Investissement/Fonctionnement,Réel/Ordre id/Ordre diff,Chapitre,Sous-chapitre,Opération,Article,Rubrique fonctionnelle,Libellé,Code devise,Montant,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
C001,B00,M52,2014,CA,30/04/2015,R,I,OR,C454428,,,A454428,R01     ,Recettes - Opération aménagement foncier (8),E,364552.76,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
C001,B00,M52,2014,CA,30/04/2015,R,I,OR,C27,,,A2748,R01     ,Autres prêts,E,70639.96,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
C001,B00,M52,2014,CA,30/04/2015,R,I,OR,C23,,,A23151,R621    ,Réseaux de voirie en cours,E,47794.13,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
C001,B00,M52,2014,CA,30/04/2015,R,I,OR,C23,,,A231351,R221    ,Immobilisations corporelles en cours - Bâtiments publics,E,65081.84,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
C001,B00,M52,2014,CA,30/04/2015,R,I,OR,C23,,,A231318,R312    ,Immobilisations corporelles en cours - autres bâtiments publics,E,5136.07,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
C001,B00,M52,2014,CA,30/04/2015,R,I,OR,C23,,,A231312,R221    ,Immobilisations corporelles en cours - bâtiments scolaires,E,361973.63,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
C001,B00,M52,2014,CA,30/04/2015,R,I,OR,C21,,,A21831 ,R221    ,Matériel informatique scolaire,E,11356.24,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
C001,B00,M52,2014,CA,30/04/2015,R,I,OR,C204,,,A20422,R72     ,PERSONNES DROIT PRIVE - Bâtiments et installations,E,30438.2,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
C001,B00,M52,2014,CA,30/04/2015,R,I,OR,C204,,,A20421,R928    ,PERSONNES DROIT PRIVE - Biens mobiliers. matériel et études,E,233.82,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
C001,B00,M52,2014,CA,30/04/2015,R,I,OR,C204,,,A20421,R91     ,PERSONNES DROIT PRIVE - Biens mobiliers. matériel et études,E,1631415,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
