Département,Budget,Type nomenclature,Exercice,Type fichier,Date vote,Dépense/Recette,Investissement/Fonctionnement,Réel/Ordre id/Ordre diff,Chapitre,Sous-chapitre,Opération,Article,Rubrique fonctionnelle,Libellé,Code devise,Montant,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
C001,B00,M52,2010,CA,23/04/2011,R,I,OR,C454421,,,A454421,R01     ,Recettes - Opération aménagement foncier (1),E,205751.97,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
C001,B00,M52,2010,CA,23/04/2011,R,I,OR,C27,,,A27634,R01     ,Créances sur les communes et structures intercommunales,E,746289.89,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
C001,B00,M52,2010,CA,23/04/2011,R,I,OR,C27,,,A27632,R01     ,Créances sur les régions,E,19738.26,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
C001,B00,M52,2010,CA,23/04/2011,R,I,OR,C27,,,A2761,R01     ,Créances pour avances en garanties d emprunt,E,19203.45,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
C001,B00,M52,2010,CA,23/04/2011,R,I,OR,C27,,,A275,R0202   ,Dépots et cautionnements versés,E,1992.16,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
C001,B00,M52,2010,CA,23/04/2011,R,I,OR,C27,,,A2748,R01     ,Autres prêts,E,271936.42,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
C001,B00,M52,2010,CA,23/04/2011,R,I,OR,C26,,,A261,R01     ,Titres de participation,E,1.08,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
C001,B00,M52,2010,CA,23/04/2011,R,I,OR,C23,,,A23151,R621    ,Réseaux de voirie en cours,E,2344118.25,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
C001,B00,M52,2010,CA,23/04/2011,R,I,OR,C23,,,A23151,R18     ,Réseaux de voirie en cours,E,6758.16,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
C001,B00,M52,2010,CA,23/04/2011,R,I,OR,C23,,,A231351,R221    ,Immobilisations corporelles en cours - Bâtiments publics,E,13215.02,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
