Département,Budget,Type nomenclature,Exercice,Type fichier,Date vote,Dépense/Recette,Investissement/Fonctionnement,Réel/Ordre id/Ordre diff,Chapitre,Sous-chapitre,Opération,Article,Rubrique fonctionnelle,Libellé,Code devise,Montant,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
C001,B00,M52,2011,CA,26/03/2012,R,I,OR,C454421,,,A454421,R01     ,Recettes - Opération aménagement foncier (1),E,343881.82,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
C001,B00,M52,2011,CA,26/03/2012,R,I,OR,C27,,,A27634,R01     ,Créances sur les communes et structures intercommunales,E,624955.88,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
C001,B00,M52,2011,CA,26/03/2012,R,I,OR,C27,,,A275,R01     ,Dépots et cautionnements versés,E,125.93,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
C001,B00,M52,2011,CA,26/03/2012,R,I,OR,C27,,,A2748,R01     ,Autres prêts,E,119215.59,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
C001,B00,M52,2011,CA,26/03/2012,R,I,OR,C23,,,A23151,R621    ,Réseaux de voirie en cours,E,68527.06,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
C001,B00,M52,2011,CA,26/03/2012,R,I,OR,C23,,,A23151,R52     ,Réseaux de voirie en cours,E,14972.69,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
C001,B00,M52,2011,CA,26/03/2012,R,I,OR,C23,,,A23151,R18     ,Réseaux de voirie en cours,E,6882.79,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
C001,B00,M52,2011,CA,26/03/2012,R,I,OR,C23,,,A231351,R50     ,Immobilisations corporelles en cours - Bâtiments publics,E,1437.69,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
C001,B00,M52,2011,CA,26/03/2012,R,I,OR,C23,,,A231351,R221    ,Immobilisations corporelles en cours - Bâtiments publics,E,7659.98,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
C001,B00,M52,2011,CA,26/03/2012,R,I,OR,C23,,,A231351,R0202   ,Immobilisations corporelles en cours - Bâtiments publics,E,27388.4,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
C001,B00,M52,2011,CA,26/03/2012,R,I,OR,C23,,,A231314,R315    ,Immobilisations corporelles en cours - bâtiments culturels et sportifs,E,3461.22,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
C001,B00,M52,2011,CA,26/03/2012,R,I,OR,C23,,,A231312,R221    ,Immobilisations corporelles en cours - bâtiments scolaires,E,63978.07,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
C001,B00,M52,2011,CA,26/03/2012,R,I,OR,C204,,,A2042 ,R72     ,Subventions d équipement versées aux personnes de droit privé,E,7134.4,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
C001,B00,M52,2011,CA,26/03/2012,R,I,OR,C204,,,A20414 ,R93     ,Subventions d équipement versées aux communes et structures intercommunales,E,170608.5,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
C001,B00,M52,2011,CA,26/03/2012,R,I,OR,C204,,,A20414 ,R74     ,Subventions d équipement versées aux communes et structures intercommunales,E,2590,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
C001,B00,M52,2011,CA,26/03/2012,R,I,OR,C204,,,A20414 ,R738    ,Subventions d équipement versées aux communes et structures intercommunales,E,14547.91,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
C001,B00,M52,2011,CA,26/03/2012,R,I,OR,C204,,,A20414 ,R731    ,Subventions d équipement versées aux communes et structures intercommunales,E,4356,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
C001,B00,M52,2011,CA,26/03/2012,R,I,OR,C204,,,A20414 ,R628    ,Subventions d équipement versées aux communes et structures intercommunales,E,8000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
