Département,Budget,Type nomenclature,Exercice,Type fichier,Date vote,Dépense/Recette,Investissement/Fonctionnement,Réel/Ordre id/Ordre diff,Chapitre,Sous-chapitre,Opération,Article,Rubrique fonctionnelle,Libellé,Code devise,Montant,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
C001,B00,M52,2013,CA,11/04/2014,R,I,OR,C454428,,,A454428,R01     ,Recettes - Opération aménagement foncier (8),E,414888.13,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
C001,B00,M52,2013,CA,11/04/2014,R,I,OR,C27,,,A2748,R01     ,Autres prêts,E,15559.58,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
C001,B00,M52,2013,CA,11/04/2014,R,I,OR,C27,,,A2741,R01     ,Prêts aux collectivités et aux groupements,E,47486.63,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
C001,B00,M52,2013,CA,11/04/2014,R,I,OR,C23,,,A23153,R50     ,Réseaux divers en cours,E,255047,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
C001,B00,M52,2013,CA,11/04/2014,R,I,OR,C23,,,A23151,R621    ,Réseaux de voirie en cours,E,151630.39,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
C001,B00,M52,2013,CA,11/04/2014,R,I,OR,C23,,,A23151,R18     ,Réseaux de voirie en cours,E,47363.4,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
C001,B00,M52,2013,CA,11/04/2014,R,I,OR,C23,,,A2314,R738    ,Constructions sur sol d autrui en cours,E,38.91,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
C001,B00,M52,2013,CA,11/04/2014,R,I,OR,C23,,,A231351,R221    ,Immobilisations corporelles en cours - Bâtiments publics,E,14088.41,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
C001,B00,M52,2013,CA,11/04/2014,R,I,OR,C23,,,A231351,R0202   ,Immobilisations corporelles en cours - Bâtiments publics,E,52907.56,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
C001,B00,M52,2013,CA,11/04/2014,R,I,OR,C23,,,A231318,R60     ,Immobilisations corporelles en cours - autres bâtiments publics,E,42.46,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
