Département,Budget,Type nomenclature,Exercice,Type fichier,Date vote,Dépense/Recette,Investissement/Fonctionnement,Réel/Ordre id/Ordre diff,Chapitre,Sous-chapitre,Opération,Article,Rubrique fonctionnelle,Libellé,Code devise,Montant,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
C001,B00,M52,2009,CA,26/03/2010,R,I,OR,C454421,,,A454421,R01     ,Recettes - Opération aménagement foncier (1),E,471835.78,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
C001,B00,M52,2009,CA,26/03/2010,R,I,OR,C27,,,A27634,R01     ,Créances sur les communes et structures intercommunales,E,1596559.14,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
C001,B00,M52,2009,CA,26/03/2010,R,I,OR,C27,,,A27632,R01     ,Créances sur les régions,E,18284.63,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
C001,B00,M52,2009,CA,26/03/2010,R,I,OR,C27,,,A2748,R01     ,Autres prêts,E,242588.29,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
C001,B00,M52,2009,CA,26/03/2010,R,I,OR,C23,,,A23151,R621    ,Réseaux de voirie en cours,E,142653.76,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
C001,B00,M52,2009,CA,26/03/2010,R,I,OR,C23,,,A23151,R18     ,Réseaux de voirie en cours,E,35102.37,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
C001,B00,M52,2009,CA,26/03/2010,R,I,OR,C23,,,A231312,R221    ,Immobilisations corporelles en cours - bâtiments scolaires,E,58753.33,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
C001,B00,M52,2009,CA,26/03/2010,R,I,OR,C21,,,A2182,R621    ,Matériel de transports,E,1412.25,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
C001,B00,M52,2009,CA,26/03/2010,R,I,OR,C21,,,A2118,R621    ,Autres terrains,E,29.26,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
C001,B00,M52,2009,CA,26/03/2010,R,I,OR,C204,,,A2042 ,R928    ,Subventions d équipement versées aux personnes de droit privé,E,304898.03,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
C001,B00,M52,2009,CA,26/03/2010,R,I,OR,C204,,,A2042 ,R72     ,Subventions d équipement versées aux personnes de droit privé,E,3261,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
C001,B00,M52,2009,CA,26/03/2010,R,I,OR,C204,,,A20418 ,R68     ,Subventions d équipement versées aux organismes publics divers,E,1031302.56,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
C001,B00,M52,2009,CA,26/03/2010,R,I,OR,C204,,,A20418 ,R12     ,Subventions d équipement versées aux organismes publics divers,E,200,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
